Biofluid,Family,Lipid,P-value,regulation (FP vs NP),Exact mass,RT,Median fold change (FP vs NP),Log fold change
Plasma,FA,FA(18:0),0.049,upregulated in FP,284.2717,4.1,2.2,0.342422681
Plasma,GL,DG(34:1),0.043,downregulated in FP,616.4987,8.1,0.26,-0.585026652
Plasma,GL,DG(36:2)*,0.035,downregulated in FP,637.5609,8.1,0.55,-0.259637311
Plasma,GL,DG(37:4),0.046,downregulated in FP,630.5039,8.1,0.68,-0.167491087
Plasma,GL,DG(39:6),0.006,downregulated in FP,654.5382,8.1,0.63,-0.200659451
Plasma,GL,DG(42:8),0.002,downregulated in FP,674.5274,5.8,0.63,-0.200659451
Plasma,GL,DG(44:8),0.013,downregulated in FP,702.5589,6.4,0.8,-0.096910013
Plasma,GL,DG(46:0),0.043,downregulated in FP,764.7308,8.8,0.53,-0.27572413
Plasma,GL,DG(46:1),0.005,downregulated in FP,762.7114,8.5,0.62,-0.207608311
Plasma,GL,TG(37:0),0.029,downregulated in FP,652.5734,8.1,0.53,-0.27572413
Plasma,GL,TG(43:4),0.048,downregulated in FP,710.5672,9,0.82,-0.086186148
Plasma,GL,TG(44:0) ,0.02,downregulated in FP,767.691,9.7,0.51,-0.292429824
Plasma,GL,TG(44:1)*,0.01,downregulated in FP,765.6813,9.5,0.41,-0.387216143
Plasma,GL,TG(46:1),0.01,downregulated in FP,793.7108,9.7,0.43,-0.366531544
Plasma,GL,TG(46:2)*,0.006,downregulated in FP,791.6965,9.54,0.43,-0.366531544
Plasma,GL,TG(48:1)*,0.042,downregulated in FP,821.7443,9.9,0.44,-0.356547324
Plasma,GL,TG(48:2),0.024,downregulated in FP,819.7229,9.7,0.41,-0.387216143
Plasma,GL,TG(48:3) ,0.031,downregulated in FP,817.7063,9.6,0.36,-0.443697499
Plasma,GL,TG(48:4),0.022,downregulated in FP,798.6706,9.7,0.55,-0.259637311
Plasma,GL,TG(48:5),0.039,downregulated in FP,796.6547,9.5,0.48,-0.318758763
Plasma,GL,TG(50:3)*,0.042,downregulated in FP,845.7442,9.8,0.47,-0.327902142
Plasma,GL,TG(50:4),0.016,downregulated in FP,843.7229,9.6,0.52,-0.283996656
Plasma,GL,TG(50:5),0.013,downregulated in FP,806.7021,9.5,0.1,-1
Plasma,GL,TG(52:2),0.048,downregulated in FP,875.7893,10.1,0.63,-0.200659451
Plasma,GL,TG(52:5),0.029,downregulated in FP,869.7442,9.7,0.61,-0.214670165
Plasma,GL,TG(52:6)*,0.044,downregulated in FP,867.7279,9.5,0.49,-0.30980392
Plasma,GL,TG(52:8),0.011,downregulated in FP,846.6733,8,0.6,-0.22184875
Plasma,GL,TG(53:8),0.012,downregulated in FP,860.6985,8.2,0.69,-0.161150909
Plasma,GL,TG(54:2),0.015,downregulated in FP,903.8138,9.7,0.1,-1
Plasma,GL,TG(54:5),0.029,downregulated in FP,897.7699,9.8,0.7,-0.15490196
Plasma,GL,TG(54:7),0.046,downregulated in FP,858.7341,9.6,0.42,-0.37675071
Plasma,GL,TG(54:8),0.008,downregulated in FP,856.7177,9.4,0.28,-0.552841969
Plasma,GL,TG(56:12) ,0.015,downregulated in FP,954.7029,8,0.01,-2
Plasma,GL,TG(56:2),0.012,downregulated in FP,931.853,10.4,0.34,-0.468521083
Plasma,GL,TG(56:3),0.031,downregulated in FP,929.8358,9.8,0.49,-0.30980392
